name,iata_code,icao_code,timezone
Tontouta,NOU,NWWW,Pacific/Noumea
Tontouta,NOU,NWWW,Pacific/Noumea
Auckland International,AKL,NZAA,Pacific/Auckland
Auckland International,AKL,NZAA,Pacific/Auckland
Auckland International,AKL,NZAA,Pacific/Auckland
Auckland International,AKL,NZAA,Pacific/Auckland
Auckland International,AKL,NZAA,Pacific/Auckland
Auckland International,AKL,NZAA,Pacific/Auckland
Auckland International,AKL,NZAA,Pacific/Auckland
Auckland International,AKL,NZAA,Pacific/Auckland
Auckland International,AKL,NZAA,Pacific/Auckland
Pokhara,PKR,VNPK,Asia/Kathmandu
Bhairawa,BWA,VNBW,Asia/Kathmandu
Dublin International,DUB,EIDW,Europe/Dublin
Dublin International,DUB,EIDW,Europe/Dublin
Dublin International,DUB,EIDW,Europe/Dublin
Albury,ABX,YMAY,Australia/Sydney
Beijing Capital International,PEK,ZBAA,Asia/Shanghai
Beijing Capital International,PEK,ZBAA,Asia/Shanghai
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Portland International,PDX,KPDX,America/Los_Angeles
Korla,KRL,ZWKL,Asia/Shanghai
Korla,KRL,ZWKL,Asia/Shanghai
Korla,KRL,ZWKL,Asia/Shanghai
Korla,KRL,ZWKL,Asia/Shanghai
Haneda Airport,HND,RJTT,Asia/Tokyo
Haneda Airport,HND,RJTT,Asia/Tokyo
Minangkabau International Airport,PDG,WIEE,Asia/Jakarta
Minangkabau International Airport,PDG,WIEE,Asia/Jakarta
Minangkabau International Airport,PDG,WIEE,Asia/Jakarta
Babullah,TTE,WAMT,Asia/Jayapura
Xianyang,XIY,ZLXY,Asia/Shanghai
Haikou,HAK,ZJHK,Asia/Shanghai
Guiyang,KWE,ZUGY,Asia/Shanghai
Guiyang,KWE,ZUGY,Asia/Shanghai
Guiyang,KWE,ZUGY,Asia/Shanghai
Guiyang,KWE,ZUGY,Asia/Shanghai
Hangzhou,HGH,ZSHC,Asia/Shanghai
Hangzhou,HGH,ZSHC,Asia/Shanghai
Hangzhou,HGH,ZSHC,Asia/Shanghai
Hangzhou,HGH,ZSHC,Asia/Shanghai
Hangzhou,HGH,ZSHC,Asia/Shanghai
Hangzhou,HGH,ZSHC,Asia/Shanghai
Tianhe International,WUH,ZHHH,Asia/Shanghai
Tianhe International,WUH,ZHHH,Asia/Shanghai
Tianhe International,WUH,ZHHH,Asia/Shanghai
Chengdu Tianfu International Airport,TFU,ZUTF,Asia/Chongqing
Chengdu Tianfu International Airport,TFU,ZUTF,Asia/Chongqing
Nanchong,NAO,ZUNC,Asia/Shanghai
Chengdu Tianfu International Airport,TFU,ZUTF,Asia/Chongqing
Chengdu Tianfu International Airport,TFU,ZUTF,Asia/Chongqing
Chengdu Tianfu International Airport,TFU,ZUTF,Asia/Chongqing
Chengdu Tianfu International Airport,TFU,ZUTF,Asia/Chongqing
Chengdu Tianfu International Airport,TFU,ZUTF,Asia/Chongqing
Tianhe International,WUH,ZHHH,Asia/Shanghai
Xianyang,XIY,ZLXY,Asia/Shanghai
Beijing Daxing International Airport,PKX,ZBAD,+8
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
Singapore Changi,SIN,WSSS,Asia/Singapore
